,Adjustment,Afternoon with the baker,Alfajores,Argentina Night,Art Tray,Bacon,Baguette,Bakewell,Bare Popcorn,Basket,Bowl Nic Pitt,Bread,Bread Pudding,Brioche and salami,Brownie,Cake,Caramel bites,Cherry me Dried fruit,Chicken Stew,Chicken sand,Chimichurri Oil,Chocolates,Christmas common,Coffee,Coffee granules ,Coke,Cookies,Crepes,Crisps,Drinking chocolate spoons ,Duck egg,Dulce de Leche,Eggs,Ella's Kitchen Pouches,Empanadas,Extra Salami or Feta,Fairy Doors,Farm House,Focaccia,Frittata,Fudge,Gift voucher,Gingerbread syrup,Granola,Hack the stack,Half slice Monster ,Hearty & Seasonal,Honey,Hot chocolate,Jam,Jammie Dodgers,Juice,Keeping It Local,Kids biscuit,Lemon and coconut,Medialuna,Mighty Protein,Mineral water,Mortimer,Muesli,Muffin,My-5 Fruit Shoot,Nomad bag,Olum & polenta,Panatone,Pastry,Pick and Mix Bowls,Pintxos,Polenta,Postcard,Raspberry shortbread sandwich,Raw bars,Salad,Sandwich,Scandinavian,Scone,Siblings,Smoothies,Soup,Spanish Brunch,Spread,Tacos/Fajita,Tartine,Tea,The BART,The Nomad,Tiffin,Toast,Truffles,Tshirt,Valentine's card,Vegan Feast,Vegan mincepie,Victorian Sponge
Adjustment,1.0,0.324977785480955,-0.44932644874689787,-0.5659164584181102,-0.3453069416370981,-0.33333333333333326,-0.5575057714523666,-0.5729583731501244,-0.08804509063256233,-0.3333333333333333,-0.33333333333333326,-0.558226500488838,-0.33333333333333326,-0.5222329678670934,-0.5046230905325811,-0.4487173588444467,-0.5222329678670934,-0.5222329678670934,-0.30417716961717484,-0.33333333333333326,-0.33333333333333326,-0.42008402520840277,-0.5386723175618309,-0.5574555905978478,-0.29277002188455997,-0.35363462002626744,-0.5055088948185751,-0.3333333333333333,-0.4490502093697088,-0.3883786668018927,-0.3746343246326776,-0.06666666666666665,-0.5269860393922078,-0.22075539284417398,-0.2254938084008486,-0.4843221048378526,-0.33333333333333326,-0.5352103919357428,-0.48269420172852573,-0.3823595564509362,-0.4074074074074074,-0.33333333333333326,-0.5726371269248888,-0.5609168914128041,0.5773502691896257,-0.42008402520840293,-0.3739499036058834,-0.5773502691896257,-0.5226377115256011,-0.4976429431879651,-0.4843221048378526,-0.5089784191538651,-0.45398994507478646,-0.3265986323710904,-0.42008402520840293,-0.4882192036895641,-0.13912166872805043,-0.3907757677838448,0.5222329678670935,-0.5443310539518174,-0.530962006874877,-0.2705008904002296,-0.4042260417272216,-0.33333333333333326,-0.5555555555555555,-0.4788008017299748,-0.3333333333333333,1.0,-0.33333333333333326,0.9999999999999999,-0.5222329678670934,-0.33333333333333326,-0.34708983728430437,-0.38764725499806035,-0.5270767748178768,-0.5244781919339065,-0.33333333333333326,-0.48267834022526857,-0.35199046236259607,-0.4818694246524266,-0.33333333333333326,-0.3775190226800191,-0.53479112444992,-0.47922112114037163,-0.33333333333333326,-0.5572782125753528,-0.4976402675438653,-0.5350741214342819,-0.39098112747064473,0.9999999999999999,0.09759000729485326,-0.3086066999241838,-0.5252257314388901,-0.49374193110101866
Afternoon with the baker,0.324977785480955,1.0,0.6947971871702734,0.3940934516227337,0.7041622096577702,0.6499555709619099,0.39466580204973883,0.5438963290521025,0.7725428615584826,-0.08124444637023875,0.6499555709619099,0.5195961468017092,0.6499555709619099,0.2545711701038922,0.6524001497148167,0.6850224677008331,0.6364279252597305,0.2545711701038922,0.6738625298412275,0.6499555709619099,0.6499555709619099,0.6825898811407625,0.29839182419512084,0.5385834926326544,0.38057501346902006,0.7193047068087467,0.6425061336352607,0.64995557096191,0.6645087922452757,0.6626258050929552,0.7419008584667108,0.9099377993466741,0.6041628338820695,0.46272686161163257,0.7877651438080765,0.6678886952818669,0.6499555709619099,0.40878955813258017,0.6674761252399125,0.6616757771862216,0.7281909637628806,-0.08124444637023874,0.5455947853544836,0.37242819330013854,0.8443170536763502,0.6655251341122432,0.6601555651041512,0.49251828131120434,0.6182736708570093,0.4411513828940914,0.6678886952818669,0.645531756726905,0.11065248523576841,0.736327520755392,0.6655251341122432,0.2646909515673844,0.8025032697279095,0.6819547923146543,0.5939993969090819,0.3150951102331632,0.6014813834590274,0.7581959803712036,0.630549522596374,0.6499555709619099,0.5957926067150843,0.19257565073915983,0.64995557096191,0.324977785480955,0.6499555709619099,0.3249777854809551,0.6364279252597305,0.6499555709619099,0.6795078673600635,0.6689019870871334,0.5507242245180309,0.6338848735078421,-0.08124444637023874,0.6640739570475712,0.6575719134317015,0.6577068057610156,0.6499555709619099,0.6608276169157825,0.60929376102976,0.6736137263448412,-0.08124444637023874,0.5387815422730811,0.6585680529916839,0.288265752010549,0.6948603646810936,0.324977785480955,0.9276515953307366,-0.6581552376390263,0.5974034327821888,0.6532817202852188
Alfajores,-0.44932644874689787,0.6947971871702734,1.0,0.7492661517387257,0.9548424655208032,0.9060189048503022,0.7424979204118691,0.9197396209769304,0.8385632353977333,0.0928116926919822,0.9060189048503022,0.8772428423268809,0.9060189048503022,0.5700915930782723,0.9953390847952077,0.9970292104093352,0.994775208974637,0.5700915930782723,0.9059429844920945,0.9060189048503022,0.9060189048503022,0.9351101584548696,0.6278604109409355,0.8980994700320409,0.5076509601710538,0.9703741110435306,0.9742975048345989,0.9060189048503023,0.9857912353245524,0.95035779879197,0.9942691766052696,0.8918761707258098,0.9462061821777894,0.532120332794369,0.9411163965953816,0.9989432052472923,0.9060189048503022,0.7377629379305113,0.9844171486926473,0.9459936951011066,0.9853535322307504,0.09281169269198217,0.9214520402507811,0.7224237596497943,0.39550726870225783,0.9710045258872867,0.9396818456338629,0.8650126715488091,0.9600113522748134,0.7389223947143628,0.9989432052472922,0.9844789437073411,0.37253199085737687,0.9663809089469083,0.9710045258872867,0.551839011316357,0.8962649223936279,0.9658214028976164,0.1007854233377242,0.6495465407410138,0.9470416788706959,0.8858706345207453,0.8600303420291431,0.9060189048503022,0.9678933666449572,0.47275023600537913,0.9060189048503023,-0.4493264487468979,0.9060189048503022,-0.4493264487468979,0.994775208974637,0.9060189048503022,0.937669734585617,0.9545562085390139,0.8829480804581572,0.9883304823456033,0.09281169269198217,0.9988088518427025,0.9239443098579874,0.9962606720565638,0.9060189048503022,0.9423905166560262,0.9617511756216026,0.9981632462025284,0.09281169269198217,0.898155492463047,0.994328443069799,0.614621432951637,0.9748697980175485,-0.4493264487468979,0.8250945512380851,-0.3205210902891322,0.9358667359283427,0.9978632859561769
Argentina Night,-0.5659164584181102,0.3940934516227337,0.7492661517387257,1.0,0.5192452564998965,0.40422604172722154,0.9999020857948621,0.9483602784567885,0.2776029241433382,0.7276068751089989,0.40422604172722154,0.9752039901715829,0.40422604172722154,0.9710607611177229,0.806171526761651,0.7002254998467377,0.8021806287494233,0.9710607611177229,0.4004863426122284,0.40422604172722154,0.40422604172722154,0.9169680745952878,0.9857927145508348,0.9641732706782945,0.9230930832457441,0.567062626767984,0.8789716737688785,0.4042260417272216,0.63790537161276,0.5128430524972404,0.681466275636382,0.7276068751089989,0.9230930832457442,0.9101978021212503,0.49221253586090635,0.7727984501036906,0.40422604172722154,0.9992165412832374,0.8529425051142473,0.5007733956671915,0.8294119522847436,0.7276068751089989,0.9469425238482128,0.9992074498457727,-0.1400280084028011,0.5773502691896257,0.4839954684813187,0.9801960588196069,0.9046587893112282,0.9967165297219177,0.7727984501036905,0.8537690770509455,0.8931041846101598,0.5544826240669376,0.5773502691896257,0.9644392830680677,0.3936562102789794,0.5557725923990093,0.37998029782867404,0.9901475429766744,0.9221985316324114,0.8966167345234255,0.9607843137254902,0.40422604172722154,0.8892972917998876,0.9369945690287385,0.4042260417272216,-0.5659164584181102,0.40422604172722154,-0.5659164584181103,0.8021806287494233,0.40422604172722154,0.4752189954891573,0.5236056615770103,0.9714373246231288,0.8386501003846797,0.7276068751089989,0.7393685869770651,0.44461603666556077,0.7090143793701117,0.40422604172722154,0.4911042650544941,0.9019084648853736,0.7871654021004886,0.7276068751089989,0.9641400465234679,0.8144710698181588,0.982804721412654,0.5847655881257685,-0.5659164584181102,0.3550358012483632,-0.5987849508520957,0.9341636411044403,0.7356071911782801
Art Tray,-0.3453069416370981,0.7041622096577702,0.9548424655208032,0.5192452564998965,1.0,0.9898798993596815,0.510337051483058,0.7629238854950966,0.9546410425362247,-0.2071841649822589,0.9898798993596815,0.6953664541360538,0.9898798993596815,0.30055111492708503,0.9240924432301166,0.973644966952628,0.9256974339754219,0.30055111492708503,0.990700297217436,0.9898798993596815,0.9898798993596815,0.7929833505317234,0.36863263030692633,0.7273104919675848,0.23588954867329517,0.9981597849888618,0.8633882354655832,0.9898798993596813,0.9879546982824707,0.9983733250267218,0.976696938177482,0.8149243822635516,0.8074162266017364,0.2713729956083875,0.9914756180911185,0.9435844699662871,0.9898798993596815,0.5039346745066194,0.8878136506163804,0.9981574523710537,0.8977980482564552,-0.20718416498225892,0.7657759539603524,0.4848891320823638,0.55821655598023,0.9960644524971648,0.9975400884697434,0.677834389404565,0.8335949736184688,0.5055409071562665,0.9435844699662871,0.8882406670541703,0.0801247828390818,0.9980744577492436,0.9960644524971648,0.27914896099975545,0.9768067848599634,0.9985381307710297,-0.06011022298541692,0.39471871210422066,0.809016065625986,0.7347925700371595,0.6755771616826611,0.9898798993596815,0.851757122704842,0.18966454971571595,0.9898798993596813,-0.34530694163709813,0.9898798993596815,-0.3453069416370981,0.9256974339754219,0.9898798993596815,0.9982555901295217,0.9987920569462873,0.7035923846752102,0.9006148320431788,-0.20718416498225892,0.9588036543853707,0.9948402662549153,0.9695157151731179,0.9898798993596815,0.9978460795335676,0.8374437693418835,0.9358034351574311,-0.20718416498225892,0.7273930931519504,0.9187639222298243,0.3528557194978918,0.9968127388761291,-0.34530694163709813,0.896380284958522,-0.1278768428634451,0.788933795816379,0.9596293053925161
Bacon,-0.33333333333333326,0.6499555709619099,0.9060189048503022,0.40422604172722154,0.9898798993596815,1.0,0.39416013140899797,0.6734773859834795,0.968495996958186,-0.3333333333333333,1.0,0.5955229323042022,1.0,0.17407765595569782,0.8666353076537807,0.9352316442438255,0.8703882797784891,0.17407765595569782,0.9994392715992888,1.0,1.0,0.7001400420140048,0.24485105343719588,0.6315009252123627,0.09759000729485326,0.9794915734540502,0.7884184281443719,1.0,0.9622504486493764,0.9925232596048369,0.936585811581694,0.7333333333333333,0.7221660539819145,0.13245323570650433,0.9771398364036775,0.8921722983855179,1.0,0.3858493523257681,0.8176248723156659,0.9941348467724342,0.8271604938271604,-0.33333333333333326,0.6767529681839595,0.36749727368425095,0.5773502691896257,0.9801960588196068,0.9960347899782879,0.5773502691896257,0.7531547249741553,0.3852719560164891,0.8921722983855179,0.8198514655831719,-0.050443327230531805,0.9797958971132711,0.9801960588196068,0.15008858912011339,0.9738516810963534,0.9847549348152892,-0.17407765595569774,0.2721655269759087,0.7243272750502054,0.6311687442672026,0.5659164584181102,1.0,0.7777777777777779,0.059489122530985976,1.0,-0.3333333333333333,1.0,-0.33333333333333326,0.8703882797784891,1.0,0.9964837263968738,0.9908790147339458,0.6026911644541967,0.8369991204608951,-0.33333333333333326,0.9145484341110354,0.9990018324857497,0.9316142209946914,1.0,0.9952774234291414,0.7586571765452353,0.8808114064573809,-0.33333333333333326,0.6315819742520664,0.8588902395386715,0.22838529573414473,0.9774528186766118,-0.3333333333333333,0.8783100656536798,0.0,0.7003009752518536,0.9169493006161779
Baguette,-0.5575057714523666,0.39466580204973883,0.7424979204118691,0.9999020857948621,0.510337051483058,0.39416013140899797,1.0,0.9447903832812302,0.2691894353966744,0.7350553801951585,0.39416013140899797,0.972896279091907,0.39416013140899797,0.9735837207325896,0.7998163139605464,0.6926505257976348,0.7955569832272018,0.9735837207325896,0.3906987223816479,0.39416013140899797,0.39416013140899797,0.9144213479000497,0.9875374096931933,0.9613775779927413,0.9283842826727895,0.5586658797733994,0.8741855215518761,0.394160131408998,0.6294010504292847,0.5033823064434794,0.6744740424879413,0.7265329989755046,0.9192355909734382,0.915752765669275,0.4844396832114624,0.7660458183759716,0.39416013140899797,0.9996334842644001,0.8478218013558341,0.4912360458851941,0.8247508121674431,0.7350553801951584,0.9433266426595907,0.9995459532854586,-0.14146147387498587,0.5683434478791499,0.4743557109924409,0.9779293193966412,0.900328786386528,0.9975142362459675,0.7660458183759716,0.8483531099050634,0.8979479115300558,0.546241867485998,0.5683434478791499,0.9675123614683817,0.385829586421837,0.5468085351831811,0.39128793347538354,0.9915855556274484,0.9182665025176638,0.8961899265808679,0.9602849488899838,0.39416013140899797,0.8841970515391037,0.9408521841420795,0.394160131408998,-0.5575057714523666,0.39416013140899797,-0.5575057714523668,0.7955569832272018,0.39416013140899797,0.4657707504714379,0.5142804000711225,0.969346528509356,0.8327315681291855,0.7350553801951584,0.7320528725761359,0.4347754778625483,0.7012147451484028,0.39416013140899797,0.48150732671904406,0.8973622194040838,0.7807352127067172,0.7350553801951584,0.9613450399129304,0.8083577152434307,0.9847325693250738,0.5761739335282976,-0.5575057714523666,0.350353307122878,-0.6082022869790675,0.930671158723844,0.7281095348537366
Bakewell,-0.5729583731501244,0.5438963290521025,0.9197396209769304,0.9483602784567885,0.7629238854950966,0.6734773859834795,0.9447903832812302,1.0,0.5602180141766953,0.47243936031676925,0.6734773859834795,0.9946606390610216,0.6734773859834795,0.8451589126244399,0.9520714599152538,0.8902367242749497,0.9501475974225069,0.8451589126244399,0.6702605862672598,0.6734773859834795,0.6734773859834795,0.9838758544395552,0.8816085090648164,0.9982226783873193,0.7798672700564474,0.797966281842723,0.9837820946114841,0.6734773859834796,0.8492408044269243,0.758666454406822,0.8755455352894435,0.8423493275435163,0.9964643684570307,0.7815358209383497,0.7366584881658287,0.9339560454328979,0.6734773859834795,0.9413542409363668,0.9728744005432332,0.7494709006560292,0.9571643777576153,0.47243936031676925,0.9999901423202511,0.9349825651738971,0.08705201867701955,0.8065248420513091,0.7365702232440747,0.9923930129180232,0.9923127482643024,0.9391335497604679,0.9339560454328979,0.9743145798047168,0.7042943192110476,0.7879049308479811,0.8065248420513091,0.8314883937538178,0.6558670845203893,0.7906672031374581,0.24672340927545758,0.8946003902336452,0.9964909022242661,0.9435097418330416,0.9727397200623615,0.6734773859834795,0.9884369595279924,0.7778891233648593,0.6734773859834796,-0.5729583731501244,0.6734773859834795,-0.5729583731501244,0.9501475974225069,0.6734773859834795,0.729632953487941,0.766794354897117,0.9941023764758554,0.9680423935094195,0.47243936031676925,0.9146985825620637,0.7057735559670887,0.8960852192918167,0.6734773859834795,0.742052752123127,0.9919981936752421,0.941627256529181,0.47243936031676925,0.9982239343847101,0.9560930553095781,0.8734835073855569,0.8115664134268121,-0.5729583731501243,0.5915219670994186,-0.48392511695015933,0.9978287515354777,0.9124913013101188
Bare Popcorn,-0.08804509063256233,0.7725428615584826,0.8385632353977333,0.2776029241433382,0.9546410425362247,0.968495996958186,0.2691894353966744,0.5602180141766953,1.0,-0.4402254531628119,0.968495996958186,0.48174713809479974,0.968495996958186,0.045980048987170286,0.782347053269394,0.8695885769750654,0.7816608327818948,0.045980048987170286,0.9756047355945168,0.968495996958186,0.968495996958186,0.6287677132370127,0.11641283923332393,0.5199629903449854,0.025776963111323214,0.9414657157900426,0.6994737341686396,0.9684959969581862,0.8980471364031163,0.9460570994070302,0.8905872527915282,0.7571877794400363,0.6238025072940252,0.0816329999964872,0.9728275170889843,0.8146901396071666,0.968495996958186,0.2662977519560378,0.7363577076206393,0.9493496668149628,0.7663183814315614,-0.4402254531628119,0.563763653816332,0.240118033599667,0.7624928516630234,0.9246584018191364,0.9535783208168291,0.45749571099781394,0.6576918582105055,0.275610597320958,0.8146901396071666,0.7317676059768525,-0.17321020539498688,0.9489284041902579,0.9246584018191364,0.02961884907171023,0.9921673745012765,0.937216386165489,-0.0459800489871702,0.14377703093791785,0.6250357328999501,0.5954068852869261,0.4911436350228293,0.968495996958186,0.6750123615163116,-0.06361547773107032,0.9684959969581862,-0.08804509063256238,0.968495996958186,-0.08804509063256234,0.7816608327818948,0.968495996958186,0.9611473315098212,0.9445130787985477,0.4975484111462958,0.7457907712133843,-0.4402254531628119,0.8387656225955636,0.962513386118108,0.8570099907649885,0.968495996958186,0.9518354017022069,0.6602952793505801,0.8040342402092916,-0.4402254531628119,0.5200954737777426,0.7760084804283297,0.0999665001942279,0.9294471577019071,-0.08804509063256237,0.953747635118964,-0.08151391459392222,0.6011661126521826,0.8383799521199359
Basket,-0.3333333333333333,-0.08124444637023875,0.0928116926919822,0.7276068751089989,-0.2071841649822589,-0.3333333333333333,0.7350553801951585,0.47243936031676925,-0.4402254531628119,1.0,-0.3333333333333333,0.5585750652721593,-0.3333333333333333,0.8703882797784892,0.1810061085605998,0.020352191221886324,0.17407765595569785,0.8703882797784892,-0.33676758064758644,-0.3333333333333333,-0.3333333333333333,0.42008402520840293,0.832493581686466,0.5202213651916919,0.87831006565368,-0.15010390346438693,0.3147094421104795,-0.3333333333333333,-0.06415002990995845,-0.21576592600105154,0.0,0.20000000000000007,0.40987803063838385,0.8388704928078611,-0.22549380840084862,0.12745318548364543,-0.3333333333333333,0.7405818213994582,0.2659743560544938,-0.22941573387056174,0.2345679012345679,1.0,0.4685212856658182,0.7543365091413572,-0.5773502691896257,-0.140028008402801,-0.24813498276652093,0.5773502691896257,0.3676348921377803,0.7384379156982708,0.12745318548364543,0.2651564219544088,0.9584232173801047,-0.1632993161855452,-0.140028008402801,0.8815548165560682,-0.3246172270321178,-0.1656889255403503,0.5222329678670935,0.816496580927726,0.40733503213983113,0.45083481733371616,0.5659164584181102,-0.3333333333333333,0.3333333333333333,0.9212150527856572,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.17407765595569785,-0.3333333333333333,-0.2575182663722258,-0.20343889883710234,0.5493163011815004,0.2367113963595508,1.0,0.07621236950925292,-0.29095165386041183,0.03212462831016178,-0.3333333333333333,-0.2402393780691031,0.36067308393134145,0.15078296957999238,1.0,0.520126331736996,0.1953698828135175,0.8417629471344192,-0.13032704249021487,-0.3333333333333333,-0.2927700218845598,-0.6172133998483676,0.43768810953240844,0.07053456158585979
