,Adjustment,Afternoon with the baker,Alfajores,Argentina Night,Art Tray,Bacon,Baguette,Bakewell,Bare Popcorn,Basket,Bowl Nic Pitt,Bread,Bread Pudding,Brioche and salami,Brownie,Cake,Caramel bites,Cherry me Dried fruit,Chicken Stew,Chicken sand,Chimichurri Oil,Chocolates,Christmas common,Coffee,Coffee granules ,Coke,Cookies,Crepes,Crisps,Drinking chocolate spoons ,Duck egg,Dulce de Leche,Eggs,Ella's Kitchen Pouches,Empanadas,Extra Salami or Feta,Fairy Doors,Farm House,Focaccia,Frittata,Fudge,Gift voucher,Gingerbread syrup,Granola,Hack the stack,Half slice Monster ,Hearty & Seasonal,Honey,Hot chocolate,Jam,Jammie Dodgers,Juice,Keeping It Local,Kids biscuit,Lemon and coconut,Medialuna,Mighty Protein,Mineral water,Mortimer,Muesli,Muffin,My-5 Fruit Shoot,Nomad bag,Olum & polenta,Panatone,Pastry,Pick and Mix Bowls,Pintxos,Polenta,Postcard,Raspberry shortbread sandwich,Raw bars,Salad,Sandwich,Scandinavian,Scone,Siblings,Smoothies,Soup,Spanish Brunch,Spread,Tacos/Fajita,Tartine,Tea,The BART,The Nomad,Tiffin,Toast,Truffles,Tshirt,Valentine's card,Vegan Feast,Vegan mincepie,Victorian Sponge
Adjustment,1.0,0.5727026612409094,0.0628428230171189,0.0,0.06356417261637282,0.0,0.00874071110150726,0.0,0.24253562503633297,0.0,0.0,0.022686005994061866,0.0,0.0,0.024221308286324482,0.03784393218144012,0.0,0.0,0.039962931591251694,0.0,0.0,0.1543033499620919,0.0,0.02221431821831014,0.2182178902359924,0.08161754639386198,0.05542440727271347,0.0,0.0,0.0,0.11624763874381928,0.3841106397986879,0.04667600280093366,0.27975144247209416,0.19245008972987526,0.0323761954119088,0.0,0.03388971238119796,0.07092773387106742,0.0,0.1414779587435732,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.049854099155315246,0.07539791994145198,0.0323761954119088,0.04460812428816172,0.0,0.10783277320343841,0.0,0.0348133883875352,0.2407717061715384,0.03443034443933802,0.6666666666666666,0.0,0.04185112055843408,0.2716072381275556,0.17407765595569785,0.0,0.0,0.015099522405884512,0.0,1.0,0.0,1.0,0.0,0.0,0.032091527190284,0.008647526318745866,0.06225476717109178,0.015532253083281138,0.0,0.01651595799587627,0.002999529110891484,0.0,0.0,0.0,0.03027524209883363,0.04577556480216165,0.0,0.022416791983111015,0.03677160269569816,0.0,0.04428074427700476,1.0,0.49613893835683387,0.3396831102433787,0.05198752449100364,0.0
Afternoon with the baker,0.5727026612409094,1.0,0.8521927116316903,0.7406954418715761,0.8117951692185035,0.7254233709051519,0.7431986726319193,0.8011637536933095,0.8426648406178137,0.3818017741606063,0.7254233709051519,0.7994457022980397,0.7254233709051519,0.6659130823434478,0.8333533472561523,0.8335077501153408,0.8195853321150127,0.6659130823434478,0.7537411582006225,0.7254233709051519,0.7254233709051519,0.883699391616774,0.6914075531660157,0.8061097350557914,0.7748385921048829,0.8353938846572293,0.8463447138216971,0.7254233709051519,0.8003209156735744,0.7671782439239352,0.8743560278731173,0.9728056875357274,0.834021895829705,0.8188735774587298,0.8817334283548108,0.8368592550662826,0.7254233709051519,0.7559340317934133,0.8566412521025819,0.7631494416733778,0.8912728382731355,0.3818017741606063,0.8017092098284386,0.7302592487730638,0.9179137201652661,0.7862136275414389,0.7572999758057096,0.7829264083762565,0.8395975924874268,0.7797694769601202,0.8368592550662827,0.8430573192622504,0.5664006757653575,0.84811732890766,0.7862136275414389,0.6802916271840387,0.8824998200061078,0.8038513970946862,0.8781440805693944,0.7006195655858471,0.8317708408095161,0.9229311159884704,0.8706673683014263,0.7254233709051519,0.8153742483272113,0.6299442209461111,0.7254233709051519,0.5727026612409094,0.7254233709051519,0.5727026612409094,0.8195853321150127,0.7254233709051519,0.7768149678634568,0.7766009648167574,0.8222086523954238,0.8281582651227921,0.3818017741606063,0.8254321082806984,0.7446256436273272,0.8122262210150587,0.7254233709051519,0.7598139291559171,0.8299463343170168,0.8447903858731389,0.3818017741606063,0.806236223503286,0.8402618694045975,0.6856900248078505,0.8165823428712352,0.5727026612409094,0.966076307163474,0.6095505864735795,0.8336550215650926,0.8153363100475499
Alfajores,0.0628428230171189,0.8521927116316903,0.9999999999999998,0.8701882669546934,0.9676214906903862,0.9130692520722569,0.8672658046305717,0.9585158793808936,0.9010489103707122,0.40293339463917405,0.9130692520722569,0.9373045037783623,0.9130692520722569,0.7687315674868684,0.9975231135733253,0.9975744934853444,0.9968712584829713,0.7687315674868684,0.9211754447775266,0.9130692520722569,0.9130692520722569,0.9628409702409598,0.8028533659977891,0.9477995507908097,0.7639186210435448,0.9808856956030293,0.9861842382281102,0.9130692520722569,0.9869149701883762,0.9559961553999944,0.996962653385122,0.9319391648253098,0.9719416055630551,0.7814646994064004,0.9682399723364751,0.9993533045464306,0.9130692520722569,0.8666171982470777,0.9911809463020683,0.951981227941745,0.9891882172297779,0.4029333946391741,0.9593909025398187,0.8557353303704247,0.6900740461375326,0.9743598042243603,0.9460920527503682,0.9305543955490972,0.9788212935215973,0.869672067494243,0.9993533045464305,0.9916675376424311,0.6382695230274822,0.9798044728019715,0.9743598042243603,0.763596636391048,0.9430032208656807,0.9744286777472532,0.6148738957949476,0.815282790038995,0.9724265925213376,0.9337509414183031,0.9272861552085399,0.9130692520722569,0.9832267730096037,0.7107514727567672,0.9130692520722569,0.0628428230171189,0.9130692520722569,0.0628428230171189,0.9968712584829713,0.9130692520722569,0.9491643547475398,0.9609421980871256,0.9403628307385232,0.9938755770478963,0.4029333946391741,0.9985909741230984,0.9315392740448449,0.9957961707909282,0.9130692520722569,0.9486312343334684,0.9800533988629191,0.999035268559019,0.4029333946391741,0.9478297123774523,0.9970217662522685,0.7951674368298152,0.9814841732996471,0.0628428230171189,0.8606257955327528,0.5261320292689005,0.9666603110265862,0.9974092236738256
Argentina Night,0.0,0.7406954418715761,0.8701882669546934,1.0,0.7182751505650129,0.6,0.9999373500124303,0.9738047354566525,0.5820855000871991,0.8,0.6,0.9873453942082259,0.6,0.9838699100999074,0.8989565561124429,0.8376123656158746,0.8944271909999159,0.9838699100999074,0.6122321119779759,0.6,0.6,0.95668076976497,0.9922778767136677,0.9818728652493083,0.9601587170383665,0.7576828890230187,0.9395756661469521,0.6,0.7893522173763263,0.6945945136995674,0.8369829989554988,0.8706507835436926,0.9615256576992335,0.9511549044051201,0.731310340973526,0.8806325152039194,0.6,0.9993699628855486,0.9267890559152808,0.6846754616640486,0.9167771726583543,0.8,0.9730802874900094,0.9995842091710024,0.4242640687119285,0.7452413135250994,0.6706472112686722,0.9899494936611667,0.9524506943386895,0.9971374912257025,0.8806325152039195,0.9263620477174918,0.9340518348510853,0.7548294124240689,0.7452413135250994,0.9813023851736483,0.6741607772803075,0.7402524054457674,0.7333333333333333,0.9946917938265513,0.9610539139145864,0.9415717588421927,0.9748348733519079,0.6,0.9429903335828895,0.964255500839785,0.6,0.0,0.6,0.0,0.8944271909999159,0.6,0.673922070995964,0.7059263984869542,0.9846629007561016,0.9164029319135872,0.8,0.8588298157855663,0.6376998889755294,0.8372705045624257,0.6,0.6766252893427926,0.950642601903376,0.890101186602033,0.8,0.9818554888602625,0.9045814263141747,0.9906017737963176,0.761628801564482,0.0,0.7442084075352507,0.45291081365783825,0.9669679555326677,0.8541985556144386
Art Tray,0.06356417261637282,0.8117951692185035,0.9676214906903862,0.7182751505650129,0.9999999999999999,0.9852446755537787,0.7139409489811789,0.857003930183196,0.9712443091320484,0.15891043154093204,0.9852446755537787,0.8193728664138912,0.9852446755537787,0.5827486247053351,0.9502676945751021,0.9816118088491641,0.9522965330550598,0.5827486247053351,0.9894120606088609,0.9852446755537787,0.9852446755537787,0.8680225823463369,0.6267911397484276,0.8370850419548654,0.5825752650035353,0.9980322289686321,0.9124587070801131,0.9852446755537786,0.9923405185417477,0.9973469079015861,0.9790670092349189,0.8626871837555384,0.881175685227012,0.6105211349448249,0.9908673886137245,0.9620991395127149,0.9852446755537787,0.7126717470866037,0.9257376783154361,0.996767379170965,0.9262717272718215,0.15891043154093204,0.8586179045868803,0.6979987656218791,0.7416198487095662,0.9972767893423544,0.9956486630209074,0.8090398349558906,0.8955258177185206,0.7170937323118091,0.9620991395127148,0.9273196184749355,0.4234637139795641,0.9973007968976061,0.9972767893423544,0.5759031205519968,0.9833111882755375,0.9990668470541553,0.4767312946227961,0.6431687744982664,0.8822296176162978,0.8315729045681179,0.8077524585429722,0.9852446755537787,0.9079207698473057,0.5102716350454326,0.9852446755537786,0.06356417261637282,0.9852446755537787,0.06356417261637282,0.9522965330550598,0.9852446755537787,0.9974971018108084,0.9982975179655756,0.8240812286559824,0.9363257212253541,0.15891043154093204,0.9726611994090061,0.9919221045626474,0.9802330042436683,0.9852446755537787,0.9961672725619389,0.8987044737988689,0.9564256324853508,0.15891043154093204,0.8371315906328771,0.9463372133950241,0.6167583138005915,0.9978001154093702,0.06356417261637282,0.8238952717447885,0.5038057699354522,0.8707473388997111,0.9737945687202026
Bacon,0.0,0.7254233709051519,0.9130692520722569,0.6,0.9852446755537787,1.0,0.5943683549024936,0.7661915431257925,0.9701425001453319,0.0,1.0,0.7179700785898468,1.0,0.4472135954999579,0.8892680327979131,0.938529518099715,0.8944271909999159,0.4472135954999579,0.9990732897812924,1.0,1.0,0.7715167498104595,0.49613893835683387,0.7397112629706263,0.4364357804719848,0.9726090945268553,0.8340053665798789,1.0,0.9647638212377322,0.9922778767136677,0.9299811099505543,0.7682212795973759,0.7934920476158722,0.4662524041201569,0.9622504486493763,0.9065334715334465,1.0,0.5911872048720087,0.851132806452809,0.9938837346736189,0.8488677524614392,0.0,0.7682212795973759,0.5766831975986553,0.7071067811865475,0.9805806756909202,0.9958094955201496,0.7071067811865476,0.811909614815134,0.5937586195389344,0.9065334715334465,0.854989048856433,0.27472112789737807,0.9704949588309457,0.9805806756909202,0.4373431916184109,0.9630868246861536,0.9812648165211335,0.3333333333333333,0.5144957554275265,0.7951712906102476,0.7242859683401482,0.6963106238227914,1.0,0.8320502943378437,0.3669183944629937,1.0,0.0,1.0,0.0,0.8944271909999159,1.0,0.994837342898804,0.9901417634964016,0.7211177197318132,0.8698061726637437,0.0,0.9248936477690713,0.998843193926864,0.939793423488437,1.0,0.9950371902099892,0.817431536668508,0.8968273920423506,0.0,0.7397541354426636,0.8825184646967559,0.4849389436576116,0.9741763740941048,0.0,0.7442084075352507,0.45291081365783825,0.7798128673650546,0.9284766908852594
Baguette,0.00874071110150726,0.7431986726319193,0.8672658046305717,0.9999373500124303,0.7139409489811789,0.5943683549024936,1.0000000000000002,0.9721537151923441,0.5787419356626391,0.8041454213386677,0.5943683549024936,0.9863843203284193,0.5943683549024936,0.9850591394107275,0.8960536247169867,0.8340800533335163,0.8912439832763726,0.9850591394107275,0.6070212554990876,0.5943683549024936,0.5943683549024936,0.9562431918455121,0.9930830319423031,0.9806892776483433,0.9632266655452817,0.7538211328270279,0.9376389861821871,0.5943683549024935,0.7850097424407468,0.6895205330953108,0.8342074487500194,0.8718049013309845,0.9599803656294144,0.9544534256755755,0.728371225296199,0.8775550000211243,0.5943683549024936,0.9996772984678036,0.9247719226869571,0.6795360464068348,0.9153446174032385,0.8041454213386677,0.9714077719580161,0.9997232100818151,0.426462510366514,0.740532015181594,0.6654182722315819,0.9888985747629313,0.9507251740234225,0.9977735938962865,0.8775550000211244,0.9240789434235932,0.936490624848171,0.75120048892295,0.740532015181594,0.9828688782628413,0.6713405800949086,0.735812221511271,0.7400468732609479,0.9953490057998153,0.9594493266941647,0.9424940394158464,0.9753215624591871,0.5943683549024936,0.9406039876518983,0.966176910380462,0.5943683549024935,0.008740711101507257,0.5943683549024936,0.008740711101507257,0.8912439832763726,0.5943683549024936,0.6689991016238032,0.701005393856761,0.9840062732825186,0.9136845657169476,0.8041454213386677,0.8553402131340061,0.6322999256083883,0.8333945905224296,0.5943683549024936,0.6714340778688165,0.9486883138000306,0.8872746940133586,0.8041454213386677,0.9806732062475216,0.9018763362624238,0.991496139751958,0.7574474428673832,0.00874071110150726,0.7458964257383237,0.45426800570291853,0.9656168564740915,0.8505092752448061
Bakewell,0.0,0.8011637536933095,0.9585158793808936,0.9738047354566525,0.857003930183196,0.7661915431257925,0.9721537151923441,1.0,0.7433149792382662,0.6426122619764713,0.7661915431257925,0.9971706416626148,0.7661915431257925,0.9174211552246638,0.97485937218464,0.9395854184834682,0.972687489876752,0.9174211552246638,0.7757537735393166,0.7661915431257925,0.7661915431257925,0.9877585080834198,0.9380811482905725,0.9989542967516942,0.8953113723082772,0.8850673592740557,0.9917798576071489,0.7661915431257926,0.9082763522475223,0.8399811589268525,0.9366501359586206,0.917716923797137,0.9978963290399151,0.8965537707134528,0.8609389436030417,0.9650477016312996,0.7661915431257925,0.9707937670478772,0.986376989379244,0.8324699651216766,0.9776909890850306,0.6426122619764711,0.9999949928272251,0.9668433556374828,0.5417792358320329,0.8773392542781903,0.8217489214984787,0.996174723949222,0.9958415939688335,0.9697313791939357,0.9650477016312996,0.9871300573270223,0.8283760838509656,0.8821743547093995,0.8773392542781903,0.912553263416413,0.8152704057318169,0.873526292349731,0.6838053556929117,0.945237765403647,0.9979946887911341,0.9621974476256683,0.9809650563746795,0.7661915431257925,0.9939670467920693,0.8788430869322463,0.7661915431257926,0.0,0.7661915431257925,0.0,0.972687489876752,0.7661915431257925,0.8241031855488813,0.8484765165990121,0.9959105491095293,0.9833417507797397,0.6426122619764711,0.952752905119512,0.7961457550845472,0.939670056146992,0.7661915431257925,0.8263313901896997,0.9959587248130506,0.9698947753121548,0.6426122619764711,0.9989525246441907,0.977459189808992,0.9335513921560388,0.8886824455530901,0.0,0.80932491225069,0.4925394564339911,0.9983798726884326,0.9500511911545885
Bare Popcorn,0.24253562503633297,0.8426648406178137,0.9010489103707122,0.5820855000871991,0.9712443091320484,0.9701425001453319,0.5787419356626391,0.7433149792382662,1.0,0.0,0.9701425001453319,0.7020354517160422,0.9701425001453319,0.4338609156373123,0.8685912427823098,0.9196858748949092,0.8677218312746247,0.4338609156373123,0.9789358937686131,0.9701425001453319,0.9701425001453319,0.7859052479933757,0.4813254700769495,0.7230130975978183,0.4763305116224668,0.9633645812569381,0.8225464447285835,0.970142500145332,0.9359583855853376,0.962650940153899,0.9304083928170915,0.8384446269601248,0.781120952433023,0.5201809639866858,0.9801960588196069,0.8873190293294106,0.9701425001453319,0.5817552955631365,0.8429226110746709,0.9642088512100444,0.8578361288184264,0.0,0.7452841128534443,0.5594648791101638,0.8574929257125441,0.9513029883089883,0.9660771136523797,0.6859943405700354,0.7997594187080452,0.5943171532817821,0.8873190293294106,0.840280272760387,0.26651864186110785,0.9676716947869918,0.9513029883089883,0.4327287042504276,0.9927271762054324,0.9603172875132739,0.485071250072666,0.49913419848462176,0.7815798515995266,0.7685350314093529,0.7177405625652734,0.9701425001453319,0.807207352795575,0.3596253006581011,0.970142500145332,0.242535625036333,0.9701425001453319,0.24253562503633297,0.8677218312746247,0.9701425001453319,0.9729173256832505,0.9626759391374421,0.7146859463870541,0.8476030596996228,0.0,0.9012843440108265,0.9697477260770813,0.9117335414832131,0.9701425001453319,0.9653278674479051,0.8003678994467939,0.8811525735354672,0.0,0.7231037971061274,0.8650870934087195,0.47045987921783156,0.9558295611364663,0.24253562503633297,0.8423195726346616,0.5217732845620351,0.7691384315375515,0.9007546982220901
Basket,0.0,0.3818017741606063,0.40293339463917405,0.8,0.15891043154093204,0.0,0.8041454213386677,0.6426122619764713,0.0,1.0,0.0,0.6957041838178971,0.0,0.8944271909999159,0.4567446705421188,0.343118318445057,0.4472135954999579,0.8944271909999159,0.015985172636500677,0.0,0.0,0.6172133998483676,0.8682431421244593,0.6725576343336658,0.8728715609439694,0.21764679038363197,0.548965557748781,0.0,0.2631174057921088,0.12403473458920847,0.34874291623145787,0.5121475197315839,0.6067880364121375,0.8392543274162825,0.19245008972987526,0.42089054035481444,0.0,0.805822049952929,0.5201367150544943,0.11043152607484655,0.5093206514768635,1.0,0.6401843996644799,0.8169678632647616,0.0,0.19611613513818404,0.09145189244572803,0.7071067811865476,0.5816311568120112,0.8011028993779273,0.42089054035481444,0.5167107730045399,0.9615239476408232,0.21566554640687682,0.19611613513818404,0.8986205877532524,0.1203858530857692,0.1893668944163591,0.6666666666666666,0.8574929257125441,0.6049389244355472,0.6337502222976297,0.6963106238227914,0.0,0.5547001962252291,0.9301305802024861,0.0,0.0,0.0,0.0,0.4472135954999579,0.0,0.096274581570852,0.1398016754863915,0.6899903361462674,0.4931490353941761,1.0,0.37986703390515425,0.04799246577426374,0.3417430630867044,0.0,0.09950371902099892,0.575229599877839,0.4400059392207783,1.0,0.6725037594933304,0.4688379343701516,0.8745480095021885,0.22140372138502382,0.0,0.3721042037676254,0.22645540682891913,0.6238502938920436,0.3713906763541038
